Alabama 	WTA 	718,084 	34.55% 	– 	1,306,925 	62.89% 	9 	43,869 	2.11% 	– 	9,287 	0.45% 	– 				AL
Indiana 	WTA 	1,024,180 	37.87% 	– 	1,544,609 	57.12% 	11 	133,856 	4.92% 	– 	1,829 	0.07% 	– 				IN
Iowa 	WTA 	650,780 	41.71% 	– 	798,923 	51.21% 	6 	57,322 	3.77% 	– 	11,406 	0.73% 	– 	12,264 	0.79% 	– 	IA
Kansas 	WTA 	414,572 	36.13% 	– 	656,470 	57.22% 	6 	53,648 	4.70% 	– 	22,717 	1.98% 	– 				KS
Kentucky 	WTA 	628,834 	32.69% 	– 	1,202,942 	62.54% 	8 	53,749 	2.79% 	– 	13,913 	0.72% 	– 	22,780 	1.18% 	– 	KY
Louisiana 	WTA 	779,535 	38.44% 	– 	1,178,004 	58.09% 	8 	37,950 	1.87% 	– 	14,018 	0.69% 	– 	8,546 	0.42% 	– 	LA
Maine (at-large) 	CD 	352,156 	47.84% 	2 	332,418 	45.16% 	– 	37,764 	5.10% 	– 	13,995 	1.90% 	– 				ME–a/l
Maine, 1st 	CD 	210,921 	53.95% 	1 	154,173 	39.43% 	– 	18,429 	4.71% 	– 	7,446 	1.90% 	– 				ME-1
Maine, 2nd 	CD 	143,952 	41.06% 	– 	180,665 	51.53% 	1 	19,335 	5.52% 	– 	6,629 	1.89% 	– 				ME-2
Maryland 	WTA 	1,502,820 	59.50% 	10 	878,615 	34.79% 	– 	71,107 	2.90% 	– 	32,019 	1.27% 	– 				MD
Massachusetts 	WTA 	1,967,667 	60.81% 	11 	1,084,400 	33.52% 	– 	136,784 	4.22% 	– 	46,931 	1.45% 	– 				MA
Michigan 	WTA 	2,264,807 	47.33% 	– 	2,277,914 	47.60% 	– 	173,021 	3.61% 	– 	51,420 	1.07% 	– 				MI
Minnesota 	WTA 	1,364,067 	46.41% 	10 	1,321,120 	44.95% 	– 	112,944 	3.90% 	– 	36,921 	1.26% 	– 	53,028 	1.80% 	– 	MN
Mississippi 	WTA 	462,127 	39.74% 	– 	678,284 	58.32% 	6 	13,789 	1.19% 	– 	3,590 	0.31% 	– 				MS
Missouri 	WTA 	1,054,889 	37.84% 	– 	1,585,753 	56.88% 	10 	96,404 	3.46% 	– 	25,086 	0.90% 	– 	1,372 	0.05% 	– 	MO
Montana 	WTA 	174,281 	35.97% 	– 	273,879 	56.52% 	3 	27,264 	5.62% 	– 	7,662 	1.58% 	– 				MT
Nebraska (at-large) 	CD 	273,185 	33.96% 	– 	485,372 	60.33% 	2 	37,577 	4.67% 	– 	8,337 	1.04% 	– 				NE–a/l
Nebraska, 1st 	CD 	98,694 	36.11% 	– 	157,571 	57.65% 	1 	13,791 	5.05% 	– 	3,271 	1.20% 	– 				NE-1
Nebraska, 2nd 	CD 	122,253 	45.44% 	– 	131,338 	48.82% 	1 	12,379 	4.60% 	– 	3,056 	1.14% 	– 				NE-2
Nebraska, 3rd 	CD 	52,562 	19.95% 	– 	197,411 	74.94% 	1 	11,447 	4.35% 	– 	2,013 	0.76% 	– 				NE-3
Nevada 	WTA 	537,753 	47.89% 	6 	511,319 	45.53% 	– 	37,299 	3.32% 	– 			– 				NV
New Hampshire 	WTA 	348,497 	47.62% 	4 	345,810 	47.25% 	– 	30,530 	4.2% 	– 	6,377 	0.87% 	– 				NH
New Jersey 	WTA 	1,967,444 	54.77% 	14 	1,509,688 	42.03% 	– 	68,695 	1.86% 	– 	35,305 	0.98% 	– 				NJ
New Mexico 	WTA 	380,923 	48.26% 	5 	316,134 	40.05% 	– 	73,699 	9.34% 	– 	9,740 	1.23% 	– 	5,722 	0.72% 	– 	NM
New York 	WTA 	4,145,376 	57.89% 	29 	2,638,135 	36.84% 	– 	161,236 	2.26% 	– 	100,033 	1.40% 	– 				NY
North Carolina 	WTA 	2,162,822 	46.13% 	– 	2,339,830 	49.90% 	15 	127,794 	2.8% 	– 	590 	0.01% 	– 				NC
North Dakota 	WTA 	93,526 	27.24% 	– 	216,133 	62.95% 	3 	21,351 	6.22% 	– 	3,769 	1.10% 	– 				ND
Ohio 	WTA 	2,320,596 	43.51% 	– 	2,776,683 	52.06% 	18 	168,599 	3.16% 	– 	44,278 	0.83% 	– 				OH
Oklahoma 	WTA 	419,788 	28.93% 	– 	947,934 	65.33% 	7 	83,334 	5.74% 	– 			– 				OK
Oregon 	WTA 	949,319 	49.89% 	7 	751,438 	39.49% 	– 	86,306 	4.80% 	– 	46,510 	2.44% 	– 				OR
Pennsylvania 	WTA 	2,817,409 	47.60% 	– 	2,890,633 	48.84% 	20 	142,653 	2.39% 	– 	48,588 	0.82% 	– 				PA
Rhode Island 	WTA 	227,062 	53.83% 	4 	166,454 	39.46% 	– 	14,643 	3.21% 	– 	5,763 	1.37% 	– 				RI
South Carolina 	WTA 	850,629 	40.71% 	– 	1,147,045 	54.90% 	9 	48,715 	2.34% 	– 	12,945 	0.62% 	– 	20,871 	1.00% 	– 	SC
South Dakota 	WTA 	117,442 	31.74% 	– 	227,701 	61.53% 	3 	20,845 	5.63% 	– 			– 				SD
Tennessee 	WTA 	868,853 	34.90% 	– 	1,519,926 	61.06% 	11 	70,084 	2.82% 	– 	15,952 	0.64% 	– 				TN
Texas 	WTA 	3,867,816 	43.32% 	– 	4,681,590 	52.43% 	38 	282,524 	3.16% 	– 	71,307 	0.80% 	– 	20,227 	0.23% 	– 	TX
Utah 	WTA 	222,858 	27.81% 	– 	375,006 	46.80% 	6 	29,921 	3.3% 	– 	5,484 	0.68% 	– 	163,573 	20.41% 	– 	UT
Vermont 	WTA 	178,082 	61.12% 	3 	95,114 	32.64% 	– 	10,047 	3.44% 	– 	6,727 	2.31% 	– 				VT
Virginia 	WTA 	1,916,148 	49.49% 	13 	1,729,932 	44.68% 	– 	116,600 	3.00% 	– 	27,248 	0.70% 	– 	52,860 	1.37% 	– 	VA
Washington 	WTA 	1,210,824 	55.57% 	12 	831,631 	38.17% 	– 	138,278 	4.80% 	– 	30,540 	1.40% 	– 				WA
West Virginia 	WTA 	187,519 	26.47% 	– 	486,304 	68.65% 	5 	22,798 	3.22% 	– 	8,016 	1.13% 	– 				WV
Wisconsin 	WTA 	1,383,926 	46.94% 	– 	1,411,432 	47.87% 	10 	106,442 	3.61% 	– 	30,942 	1.05% 	– 				WI
Wyoming 	WTA 	55,964 	21.63% 	– 	174,383 	67.40% 	3 	13,285 	5.3% 	– 	2,482 	0.96% 	– 				WY
